Epoch,Loss,Acc
0,75.441,24.857
1,74.869,34.095
2,74.191,39.857
3,73.562,41.619
4,72.848,43.571
5,72.205,43.619
6,71.500,44.048
7,70.825,47.000
8,70.222,49.286
9,69.758,50.571
10,69.122,51.381
11,68.431,52.238
12,68.027,52.381
13,67.519,56.810
14,66.916,61.762
15,66.567,62.381
16,66.042,63.667
17,65.280,71.429
18,64.751,72.143
19,64.294,72.429
20,64.074,70.667
21,63.477,72.333
22,63.120,72.095
23,62.443,73.810
24,62.121,74.095
25,61.842,73.667
26,61.389,74.619
27,61.347,73.810
28,60.635,75.190
29,60.145,76.095
30,59.970,76.381
31,59.801,75.905
32,59.552,76.048
33,59.377,76.238
34,59.027,77.095
35,58.750,77.381
36,58.768,77.000
37,58.597,76.857
38,58.532,76.762
39,58.463,76.524
40,58.311,76.667
41,58.344,76.095
42,58.016,76.810
43,57.982,76.571
44,57.887,76.524
45,58.082,75.238
46,57.682,76.286
47,57.237,76.857
48,56.537,82.905
49,55.870,85.381
50,55.518,86.143
51,55.171,86.571
52,54.649,87.429
53,54.630,87.190
54,54.346,87.619
55,54.339,87.333
56,54.165,87.619
57,54.653,86.095
58,54.972,84.714
59,54.034,87.429
60,53.827,87.762
61,53.745,87.905
62,53.706,87.762
63,53.565,88.190
64,53.640,87.762
65,53.592,87.762
66,53.422,88.000
67,53.564,87.524
68,53.285,88.286
69,53.539,87.333
70,53.625,86.952
71,53.334,87.905
72,53.162,88.238
73,53.131,88.190
74,53.133,88.095
75,53.116,88.048
76,53.122,88.000
77,53.055,87.952
78,52.967,88.238
79,53.129,87.714
