Epoch,Loss,Acc
0,75.533,13.286
1,75.001,30.000
2,74.481,41.286
3,73.891,47.905
4,73.242,56.000
5,72.398,59.333
6,71.421,61.905
7,70.501,63.429
8,69.538,64.238
9,68.520,65.095
10,67.664,65.524
11,66.737,66.714
12,65.627,69.095
13,64.826,69.857
14,64.293,69.286
15,63.547,70.000
16,62.934,71.429
17,62.156,72.143
18,61.798,71.810
19,61.143,73.286
20,60.584,74.095
21,60.741,72.619
22,59.882,74.143
23,59.590,74.381
24,59.340,74.571
25,58.929,75.619
26,58.887,75.238
27,58.675,75.476
28,58.751,74.476
29,58.563,75.048
30,58.177,75.952
31,58.527,74.190
32,58.620,73.190
33,58.257,74.667
34,57.796,75.714
35,57.459,76.524
36,57.279,76.762
37,57.110,77.095
38,57.006,77.143
39,56.780,77.762
40,56.812,77.476
41,56.892,77.000
42,56.717,77.429
43,56.788,77.143
44,56.672,77.286
45,56.682,77.048
46,56.605,77.143
47,56.663,76.952
48,56.649,77.048
49,56.427,77.333
50,56.369,77.238
51,56.527,76.810
52,56.462,77.048
53,56.409,76.762
54,56.569,76.333
55,56.369,76.810
56,56.220,77.143
57,56.395,77.143
58,56.231,77.524
59,56.602,76.476
60,56.590,76.095
61,56.137,77.619
62,56.236,77.333
63,55.981,78.190
64,55.898,78.619
65,55.894,78.429
66,55.872,78.810
67,56.132,77.714
68,56.030,78.000
69,55.887,78.810
70,56.087,78.095
71,55.883,79.000
72,55.830,79.333
73,55.671,79.619
74,55.229,81.476
75,55.209,81.571
76,55.039,81.905
77,55.086,81.810
78,54.979,82.238
79,54.608,83.333
