Epoch,Loss,Acc
0,75.809,16.857
1,75.529,20.810
2,75.179,37.524
3,74.741,58.762
4,74.200,65.714
5,73.422,70.286
6,72.467,75.524
7,71.267,78.810
8,69.694,81.952
9,68.169,82.810
10,66.576,83.714
11,64.876,83.857
12,63.756,83.524
13,62.064,85.810
14,60.542,87.667
15,59.275,89.286
16,58.350,89.905
17,57.341,91.190
18,56.900,91.143
19,55.790,92.762
20,55.201,92.476
21,54.600,93.524
22,54.116,94.048
23,53.822,93.381
24,53.446,93.810
25,52.892,94.476
26,52.618,94.714
27,52.246,95.095
28,52.212,94.905
29,51.863,95.571
30,51.711,95.381
31,51.856,95.381
32,51.493,95.667
33,51.711,94.714
34,51.284,96.000
35,51.134,95.905
36,50.919,96.286
37,50.916,96.095
38,50.779,96.286
39,51.307,95.000
40,50.752,96.143
41,50.603,96.429
42,50.600,96.238
43,50.770,96.095
44,50.452,96.524
45,50.263,96.810
46,50.397,96.238
47,50.242,96.571
48,50.698,95.571
49,50.962,94.476
50,50.757,94.810
51,50.922,94.905
52,50.396,95.810
53,50.269,95.952
54,50.029,96.524
55,50.012,96.905
56,49.833,97.286
57,50.171,96.333
58,51.578,92.000
59,51.120,93.381
60,50.347,95.762
61,50.047,96.619
62,49.806,97.190
63,49.835,97.143
64,49.691,97.476
65,49.744,97.429
66,49.587,97.667
67,49.469,98.095
68,49.413,98.095
69,49.366,98.238
70,49.375,98.190
71,49.352,98.190
72,49.395,98.048
73,49.317,98.238
74,49.338,98.095
75,49.277,98.238
76,49.242,98.286
77,49.288,98.000
78,49.281,98.095
79,49.224,98.238
