Epoch,Loss,Acc
0,75.772,17.524
1,75.493,25.000
2,75.177,34.381
3,74.809,39.905
4,74.478,41.048
5,74.052,42.238
6,73.566,43.286
7,73.111,43.905
8,72.686,43.667
9,72.207,46.810
10,71.684,52.524
11,71.213,52.524
12,70.755,52.952
13,70.281,54.333
14,69.814,54.286
15,69.430,54.571
16,68.955,55.619
17,68.574,56.286
18,68.230,56.333
19,67.930,56.095
20,67.521,57.238
21,67.248,57.476
22,66.906,57.238
23,66.674,57.190
24,66.348,57.429
25,66.159,57.333
26,65.892,57.571
27,65.577,57.905
28,65.544,57.524
29,65.299,57.905
30,65.204,57.714
31,64.955,57.952
32,64.799,57.524
33,64.529,58.190
34,64.536,57.571
35,64.365,57.952
36,64.107,58.429
37,63.985,58.095
38,63.916,58.143
39,63.723,58.524
40,63.693,57.762
41,63.454,58.476
42,63.317,58.286
43,63.142,58.667
44,63.062,58.381
45,62.869,58.667
46,62.662,58.857
47,62.518,58.810
48,62.560,60.048
49,62.440,66.333
50,62.533,65.714
51,62.410,66.333
52,62.361,65.476
53,62.125,66.476
54,61.780,67.524
55,61.604,67.952
56,61.486,67.857
57,61.346,68.238
58,61.252,67.905
59,61.013,69.333
60,60.891,73.619
61,60.763,74.381
62,60.610,75.286
63,60.504,78.000
64,60.501,77.286
65,60.475,77.333
66,60.289,77.619
67,60.193,77.571
68,60.117,77.524
69,59.995,77.429
70,59.927,77.286
71,59.808,77.524
72,59.557,78.048
73,59.424,77.905
74,59.278,78.095
75,59.186,78.238
76,59.295,77.524
77,59.445,76.524
78,59.085,77.810
79,59.019,77.667
