Epoch,Loss,Acc
0,73.782,21.429
1,68.538,39.810
2,64.515,50.952
3,61.962,58.190
4,60.762,62.714
5,59.677,65.286
6,59.024,67.381
7,58.856,67.667
8,58.383,68.667
9,58.202,69.190
10,58.204,69.238
11,57.023,73.286
12,55.121,79.238
13,54.974,79.238
14,54.836,79.476
15,54.845,79.571
16,54.794,79.667
17,54.704,79.714
18,54.690,79.762
19,54.701,79.714
20,54.620,79.905
21,54.689,79.810
22,54.645,79.857
23,54.605,79.952
24,54.397,80.714
25,52.030,89.333
26,51.702,89.571
27,51.645,89.667
28,51.915,89.000
29,51.707,89.619
30,51.752,89.190
31,51.948,88.857
32,51.715,89.476
33,51.610,89.667
34,50.380,93.905
35,49.018,98.238
36,48.730,98.667
37,48.615,98.905
38,48.433,99.429
39,48.490,99.286
40,48.481,99.381
41,48.368,99.714
42,48.367,99.619
43,48.294,99.857
44,48.246,99.952
45,48.437,99.381
46,48.343,99.667
47,48.333,99.714
48,48.446,99.381
49,48.346,99.714
50,48.323,99.762
51,48.257,99.952
52,48.283,99.857
53,48.268,99.857
54,48.220,100.000
55,48.221,100.000
56,48.223,100.000
57,48.219,100.000
58,48.219,100.000
59,48.219,100.000
60,48.218,100.000
