Epoch,Loss,Acc
0,73.164,23.333
1,69.757,34.952
2,68.124,39.476
3,66.354,45.429
4,64.728,49.810
5,63.856,52.571
6,63.760,52.476
7,62.635,56.095
8,62.394,56.952
9,61.271,60.667
10,61.211,60.333
11,61.134,60.762
12,60.810,61.857
13,60.741,61.810
14,60.045,64.143
15,60.396,62.952
16,59.735,65.000
17,59.552,65.714
18,59.497,65.333
19,59.555,65.571
20,59.491,65.571
21,59.464,65.762
22,59.148,66.524
23,59.099,66.619
24,58.678,68.095
25,57.060,73.619
26,56.789,74.190
27,56.648,74.667
28,56.860,73.905
29,56.526,74.810
30,56.025,76.286
31,56.013,76.476
32,55.791,77.048
33,55.540,77.571
34,55.464,78.000
35,55.251,78.667
36,54.336,81.905
37,53.987,82.667
38,53.909,82.762
39,53.654,83.714
40,53.563,83.762
41,53.036,85.667
42,52.794,86.238
43,52.439,87.238
44,52.688,86.619
45,52.569,87.000
46,52.360,87.476
47,52.124,88.143
48,52.302,87.762
49,52.230,87.810
50,52.253,87.810
51,52.222,88.000
52,52.034,88.524
53,52.154,88.048
54,51.999,88.667
55,52.077,88.286
56,52.052,88.333
57,51.881,88.952
58,52.001,88.571
59,51.857,88.905
60,51.921,88.667
61,51.888,88.810
62,51.924,88.667
63,51.798,88.952
64,51.796,89.143
65,51.731,89.333
66,51.811,89.048
67,51.263,90.810
68,50.631,93.048
69,50.485,93.619
70,50.215,94.190
71,50.057,94.905
72,49.572,96.238
73,49.360,96.952
74,49.311,96.952
75,49.348,96.619
76,49.102,97.714
77,49.025,97.571
78,48.745,98.619
79,48.754,98.714
