Epoch,Loss,Acc
0,75.743,19.714
1,75.467,25.810
2,75.308,25.476
3,75.150,26.095
4,74.978,21.476
5,74.797,19.619
6,74.602,19.667
7,74.424,19.571
8,74.300,19.333
9,74.108,19.429
10,73.940,19.333
11,73.734,19.429
12,73.632,19.286
13,73.453,19.571
14,73.333,19.571
15,73.236,19.571
16,73.109,19.524
17,72.978,19.429
18,72.921,19.476
19,72.992,19.286
20,72.878,19.619
21,72.714,19.524
22,72.636,19.333
23,72.479,27.381
24,72.439,28.333
25,72.326,28.476
26,72.242,28.667
27,72.191,28.667
28,72.196,28.143
29,72.190,28.381
30,72.015,28.571
31,71.965,28.571
32,71.926,28.571
33,71.903,28.286
34,71.851,28.381
35,71.759,27.762
36,71.754,28.429
37,71.804,28.190
38,71.669,28.667
39,71.621,28.714
40,71.511,28.952
41,71.443,29.095
42,71.484,28.905
43,71.385,28.810
44,71.313,28.952
45,71.314,29.000
46,71.284,28.952
47,71.340,28.714
48,71.440,28.476
49,71.304,28.667
50,71.205,28.810
51,71.146,28.905
52,71.051,29.143
53,71.024,29.143
54,71.001,29.143
55,71.014,29.143
56,70.944,29.238
57,70.914,29.190
58,70.929,29.143
59,70.947,29.048
60,71.057,28.238
61,70.925,28.952
62,70.932,28.810
63,70.976,28.762
64,70.917,28.857
65,70.898,28.905
66,70.806,29.143
67,70.826,28.905
68,70.751,29.095
69,70.771,28.952
70,70.699,29.238
71,70.726,29.143
72,70.794,28.857
73,70.700,29.000
74,70.736,29.048
75,70.679,29.143
76,70.618,29.286
77,70.715,29.000
78,70.681,29.095
79,70.617,29.190
